CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
360	1.2512	0.43055	0.21332		97.75072	98.56623	98.78388
361	1.04573	0.35282	0.21413		97.97572	98.66479	98.80441
362	0.86795	0.29191	0.22051		98.17318	98.74651	98.81921
363	0.71588	0.24587	0.23113		98.34507	98.81331	98.8296
364	0.5875	0.21283	0.24478		98.49337	98.86705	98.83675
365	0.48078	0.19099	0.26042		98.62006	98.90948	98.84174
366	0.39372	0.17869	0.27711		98.7271	98.94228	98.84547
367	0.32435	0.17435	0.29404		98.81645	98.967	98.84874
368	0.27076	0.17652	0.31054		98.88999	98.98503	98.85224
369	0.23111	0.18388	0.32605		98.94953	98.99773	98.85654
370	0.20363	0.19522	0.3401		98.99683	99.00629	98.86208
371	0.1868	0.20914	0.35205		99.03174	99.01048	98.86791
372	0.17863	0.22493	0.36198		99.05789	99.01263	98.87558
373	0.17771	0.24177	0.36971		99.07668	99.01356	98.88527
374	0.18276	0.25896	0.37515		99.08937	99.01396	98.89707
375	0.19257	0.2759	0.37827		99.09717	99.01445	98.91103
376	0.20607	0.29208	0.37909		99.10114	99.01552	98.92712
377	0.22227	0.30709	0.37768		99.10224	99.01759	98.94529
378	0.24031	0.32061	0.37417		99.10136	99.021	98.96541
379	0.25941	0.33238	0.36871		99.09926	99.02599	98.98732
380	0.2789	0.34222	0.36149		99.09661	99.03273	99.01088
381	0.2982	0.35004	0.3527		99.09399	99.04135	99.03585
382	0.31684	0.35577	0.34258		99.09187	99.0519	99.06203
383	0.3344	0.35943	0.33137		99.09068	99.06438	99.0892
384	0.35057	0.36105	0.31929		99.09072	99.07876	99.1171
385	0.36509	0.36073	0.3066		99.09225	99.09493	99.14552
386	0.37779	0.35859	0.29354		99.09547	99.11279	99.17419
387	0.38855	0.35478	0.28034		99.10048	99.13221	99.20291
388	0.3973	0.34947	0.26723		99.10735	99.15299	99.23145
389	0.40403	0.34285	0.25441		99.1161	99.17497	99.25959
390	0.40775	0.33459	0.24176		99.11951	99.19021	99.27915
391	0.40963	0.32544	0.22967		99.12468	99.20628	99.29812
392	0.40977	0.31558	0.21827		99.13152	99.22301	99.31635
393	0.40827	0.30521	0.20769		99.13994	99.2402	99.33372
394	0.40527	0.29449	0.19804		99.1498	99.25769	99.35014
395	0.4009	0.28362	0.1894		99.16095	99.27528	99.3655
396	0.39533	0.27276	0.18184		99.17326	99.29282	99.37975
397	0.38873	0.26207	0.17542		99.18655	99.31013	99.39283
398	0.38125	0.2517	0.17018		99.20065	99.3271	99.4047
399	0.37308	0.2418	0.16613		99.21539	99.34355	99.41535
400	0.36439	0.23248	0.16327		99.23061	99.35939	99.42477
401	0.35583	0.22432	0.16197		99.24566	99.37402	99.43261
402	0.34711	0.21696	0.16182		99.26082	99.38783	99.43928
403	0.33838	0.21048	0.16277		99.27594	99.40073	99.44481
404	0.32979	0.20492	0.16477		99.29089	99.41266	99.44926
405	0.32148	0.20034	0.16776		99.30552	99.42358	99.45269
406	0.31356	0.19677	0.17167		99.31972	99.43348	99.45518
407	0.30616	0.19423	0.17641		99.33337	99.44231	99.4568
408	0.29936	0.19272	0.1819		99.34637	99.45007	99.45764
409	0.29326	0.19223	0.18806		99.35865	99.45678	99.45779
410	0.28793	0.19274	0.19478		99.37012	99.46247	99.45734
411	0.28343	0.19422	0.20197		99.38074	99.46716	99.45639
412	0.2798	0.19661	0.20954		99.39045	99.4709	99.45503
413	0.27707	0.19988	0.21739		99.39922	99.47374	99.45337
414	0.27527	0.20396	0.22542		99.40704	99.47574	99.45148
415	0.2744	0.20878	0.23354		99.4139	99.47697	99.44949
416	0.27446	0.21427	0.24167		99.4198	99.4775	99.44745
417	0.27543	0.22036	0.24971		99.42476	99.47741	99.44547
418	0.27728	0.22695	0.25758		99.42881	99.47678	99.44361
419	0.27999	0.23397	0.26521		99.43198	99.47569	99.44197
420	0.2835	0.24132	0.27254		99.43431	99.47424	99.44061
421	0.28776	0.24894	0.2795		99.43587	99.4725	99.43958
422	0.29272	0.25672	0.28603		99.43669	99.47056	99.43893
423	0.29831	0.26458	0.29209		99.43686	99.46851	99.43874
424	0.30446	0.27244	0.29764		99.43645	99.46643	99.43901
425	0.31109	0.28023	0.30265		99.43551	99.46439	99.4398
426	0.31814	0.28787	0.30709		99.43413	99.46248	99.44112
427	0.32553	0.29528	0.31096		99.43239	99.46076	99.44299
428	0.33317	0.30239	0.31423		99.43036	99.4593	99.44543
429	0.34099	0.30916	0.31691		99.42812	99.45816	99.44841
430	0.34891	0.31552	0.319		99.42577	99.45741	99.45195
431	0.35685	0.32142	0.32053		99.42335	99.45708	99.45604
432	0.36474	0.32683	0.3215		99.42096	99.45721	99.46064
433	0.37251	0.33169	0.32195		99.41866	99.45785	99.46573
434	0.38008	0.336	0.32191		99.41653	99.45902	99.47128
435	0.3874	0.33971	0.32142		99.41462	99.46075	99.47725
436	0.3944	0.34281	0.32052		99.41301	99.46307	99.4836
437	0.40102	0.3453	0.31926		99.41174	99.46597	99.49029
438	0.40722	0.34716	0.31769		99.41086	99.46947	99.49725
439	0.41295	0.34841	0.31587		99.41043	99.47354	99.50443
440	0.41816	0.34905	0.31385		99.41048	99.47821	99.51179
441	0.42283	0.34909	0.31169		99.41105	99.48344	99.51926
442	0.42693	0.34856	0.30946		99.41216	99.48921	99.52677
443	0.43042	0.34747	0.30721		99.41385	99.49551	99.53426
444	0.43331	0.34586	0.30501		99.41612	99.5023	99.54169
