Wave	QE
300.884	0.200686
303.183	0.217839
306.72	0.240709
311.671	0.269868
317.86	0.298456
322.205	0.327371
331.451	0.375398
338.121	0.413134
343.577	0.444989
348.427	0.476354
352.671	0.505268
357.522	0.532713
361.16	0.556726
363.736	0.58221
365.858	0.609164
368.587	0.639549
371.163	0.661112
374.953	0.70767
377.378	0.730703
379.348	0.757657
381.319	0.780691
384.805	0.812546
387.382	0.83607
390.565	0.854202
392.99	0.869885
396.779	0.881647
400.872	0.895859
406.177	0.910071
411.33	0.919873
425.275	0.922813
435.885	0.921343
443.009	0.917422
450.436	0.912031
457.408	0.90615
466.048	0.90272
489.238	0.892428
517.582	0.886547
522.281	0.885077
525.919	0.882137
531.224	0.882137
538.499	0.885567
548.049	0.888018
558.507	0.889488
569.269	0.890468
580.333	0.893899
588.367	0.895369
614.286	0.90566
644.752	0.917422
655.059	0.920363
674.612	0.926734
684.919	0.930164
695.832	0.930164
704.623	0.930164
714.93	0.932124
725.085	0.933105
735.241	0.929674
746.305	0.928694
757.977	0.923793
769.496	0.915462
781.167	0.907131
790.716	0.899779
798.901	0.888018
811.936	0.868415
819.515	0.856163
828.458	0.83705
838.31	0.814506
843.615	0.802744
852.406	0.779221
864.532	0.737564
872.869	0.70669
879.386	0.678755
889.39	0.639059
896.514	0.610635
907.124	0.563097
910.913	0.543494
918.037	0.509679
926.525	0.465572
937.59	0.412644
946.987	0.366087
957.294	0.317079
966.844	0.267581
976.241	0.226415
986.245	0.185249
996.097	0.149473
1005.65	0.112717
1016.1	0.0862534
1025.65	0.0632198
1035.35	0.0436168
1044.9	0.0264641
1054.91	0.0147023
1065.52	0.00784122
1075.07	0.00392061
1084.77	0.00343053
1094.77	0.000490076
1100.08	0.000980152
