Input Configuration


   Altitude :  90.00
   Airmass  :   1.00


   Season      : Entire Year
   Time Period : Entire Night
   

   PWV         : Seasonal Average
   Monthly Averaged Solar Flux : 130.00 s.f.u

   Components included in the radiance model:

      Scattered Moon Light:
         separation of Sun and Moon       :  90.00 degrees
         separation of Moon and object    :  45.00 degrees
         altitude of Moon above horizon   :  45.00 degrees
         distance to Moon                 :   1.0000

      Star Light

      Zodiacal Light:
         ecliptic longitude of object : 135.00 degrees
         ecliptic latiude of object   :  90.00 degrees

      Molecular Emission of Lower Atmosphere
      Emission Lines of Upper Atmosphere
      Airglow Continuum

   Wavelength grid:
       Range: 340.00 nm - 770.00 nm
       Fixed wavelength step delta=0.50 nm

   LSF convolution kernel: none
340 445.6359302
340.5 451.7809752
341 442.9568467
341.5 428.2417884
342 441.9607182
342.5 452.4236518
343 446.3476912
343.5 445.7515385
344 405.0716484
344.5 377.4322142
345 400.0366027
345.5 448.9283378
346 444.7122115
346.5 419.7940224
347 411.7293331
347.5 405.8534083
348 448.6828214
348.5 455.6087307
349 442.2411782
349.5 412.4827446
350 425.1295373
350.5 454.2783523
351 441.3252423
351.5 426.5461462
352 414.7896033
352.5 394.583851
353 406.7929296
353.5 425.223934
354 439.3694603
354.5 476.2903267
355 467.4927948
355.5 461.2491897
356 444.9313008
356.5 416.1996836
357 381.4851114
357.5 350.003994
358 335.7837196
358.5 319.4984633
359 352.780664
359.5 401.4857257
360 408.2374488
360.5 404.6496271
361 392.6240767
361.5 390.886333
362 423.7389505
362.5 425.9442445
363 430.8396705
363.5 445.0707634
364 438.0533221
364.5 439.3256598
365 447.1235115
365.5 466.6328707
366 482.3870347
366.5 497.6120462
367 496.1128428
367.5 488.269349
368 472.6566483
368.5 459.8653044
369 473.9389402
369.5 494.9939608
370 512.192539
370.5 490.8724576
371 488.9229516
371.5 482.838363
372 468.6091394
372.5 447.84033
373 427.4142992
373.5 422.4850636
374 433.6452719
374.5 406.310168
375 425.3563103
375.5 443.3288293
376 451.4508737
376.5 454.9121233
377 476.3560599
377.5 525.0088704
378 529.6957934
378.5 539.3853529
379 498.8479856
379.5 462.3676703
380 465.6827485
380.5 482.0010924
381 470.2578363
381.5 469.4103049
382 427.2681968
382.5 372.508501
383 360.8706378
383.5 340.9417514
384 365.7586686
384.5 410.5239069
385 425.4334854
385.5 421.3162192
386 416.2492011
386.5 418.7848256
387 414.6873203
387.5 416.5646437
388 412.143104
388.5 411.2020662
389 446.3231043
389.5 467.8299334
390 485.3858662
390.5 513.0157187
391 550.5099029
391.5 554.6040636
392 504.7218046
392.5 449.2545334
393 374.3901371
393.5 289.9691555
394 338.5454328
394.5 434.6182502
395 477.3660359
395.5 538.9000834
396 471.6029668
396.5 387.1187164
397 378.3594945
397.5 398.3473118
398 493.8666577
398.5 592.0790848
399 634.7568587
399.5 659.0981179
400 668.8917207
400.5 665.7954735
401 701.041229
401.5 708.9419699
402 707.1505346
402.5 704.514293
403 693.4871779
403.5 676.5283295
404 669.9013087
404.5 679.4725914
405 695.8543166
405.5 672.9080786
406 663.93309
406.5 661.4523049
407 646.9013471
407.5 646.8910447
408 674.4814119
408.5 687.8671933
